Aboriginal	Aborigine
Malagasy	Madagascar
Malawian	Malawi
Malaysian	Malaysia
Maldivian	Maldives
Malian	Mali
Maltese	Malta
Masonic	Freemason
Mauritanian	Mauritius
Mauritian	Mauritius
Mayan	Maya
medieval	Middle Ages
Mexican	Mexico
Middle Eastern	Middle East
Moldovan	Moldova
Monacan	Monaco
Monegasque	Monaco
Mongolian	Mongolia
Montenegrin	Montenegro
Moroccan	Morocco
Mosotho	Lesotho
Mozambican	Mozambique
Muslim	Islam
Myanmaran	Myanmar
Namibian	Namibia
Nauruan	Nauru
neolithic	Neolithic Age
Nepalese	Nepal
Nepali	Nepal
New Zealander	New Zealand
Ni-Vanuatu	Vanuatu
Nicaraguan	Nicaragua
Nigeran	Niger
Nilotic	Nile
Nordic	Scandinavia
North American	North America
North Korean	North Korea
Northern	North
Northern European	Northern Europe
Norwegian	Norway
Omani	Oman
Pakistani	Pakistan
Palauan	Palau
Palestinian	Palestine
Panamanian	Panama
Papua New Guinean	Papua New Guinea
Paraguayan	Paraguay
Persian	Persia
Peruvian	Peru
Pharaonic	Pharaoh
Philippine	Philippines
Polish	Poland
Portuguese	Portugal
Puerto Rican	Puerto Rico
Qatari	Qatar
Quechuan	Quechua
Republican	Republican Party
Rhenish	Rhine
Riemannian	Riemann
Roman	Rome
Romanian	Romania
Romany	Gypsy
Romany	Romani
Ruandan	Ruanda
Russian	Russia
Rwandan	Rwanda
Sahraouian	Western Sahara
Sahrawi	Western Sahara
Sahrawian	Western Sahara
Salvadoran	El Salvador
Samoan	Samoa
Saudi Arabian	Saudi Arabia
Scandinavian	Scandinavia
Scottish	Scotland
Senegalese	Senegal
Seychellois	Seychelles
Siamese	Siam
Sierra Leonean	Sierra Leone
Singaporean	Singapore
Sinhala	Sinhalese
Sinitic	Chinese
Siouan	Sioux
Slovak	Slovakia
Slovene	Slovenia
Slovenian	Slovenia
Somali	Somalia
Somalian	Somalia
South African	South Africa
South American	South America
South Korean	South Korea
Southeast Asian	Southeast Asia
Southern	South
Southern European	Southern Europe
Spanish	Spain
SriLankan	Sri Lanka
Stalinist	Stalin
Sudanese	Sudan
Surinamese	Suriname
Swazi	Swaziland
Swedish	Sweden
Swiss	Switzerland
Syrian	Syria
Taiwanese	Taiwan
Tajik	Tajikistan
Tajikistani	Tajikistan
Tanzanian	Tanzania
Tchadian	Tchad
Teutonic	Teuton
Texan	Texas
Thai	Thailand
Tibetan	Tibet
Timorese	Timor
Togolese	Togo
Tongan	Tonga
Trojan	Troy
Tunisian	Tunisia
Turkic	Turki
Turkish	Turkey
Turkmen	Turkmenistan
Tuscan	Tuscany
Tuvaluan	Tuvalu
Ugandan	Uganda
Ukrainian	Ukraine
Uruguayan	Uruguay
Uzbek	Uzbekistan
Uzbekistani	Uzbekistan
Venezuelan	Venezuela
Virginian	Virginia
Welch	Wales
Welsh	Wales
West German	West Germany
West Pakistani	West Pakistan
Western	West
Western European	Western Europe
Western Samoan	Western Samoa
Wilsonian	Wilson
Yemeni	Yemen
Yugoslav	Yugoslavia
Yugoslavian	Yugoslavia
Zairian	Zaire
Zambian	Zambia
Zimbabwean	Zimbabwe
Zoroastrian	Zoroaster
